ID;Einrichtungsname;Einrichtungsart;Adresse;PLZ;Stadt;Bezirk;Webseite;Telefon;E_Mail;Angebot;Träger;Anmerkungen;Kurzbeschreibung;X_Koordinate;Y_Koordinate;Foto_Link;Google_Maps_Link;Sachstand
000096_E;Stephans  Der Nachbarschaftsladen;Nachbarschaftstreff;Stendaler Str. 9;10559;Berlin;Mitte;https://moabiter-ratschlag.de/orte/stephans/;;stephans@moabiter-ratschlag.de;;Moabiter Ratschlag e. V.;;;13.3479095;52.5330026;;https://maps.app.goo.gl/FxUHaL34qr71T84S6;2025-05-15
000098_E;Kieztreff;Nachbarschaftstreff;Celsiusstraße 60;12207;Berlin;Steglitz-Zehlendorf;https://www.stadtteilzentrum-steglitz.de/kieztreff/;(030) 61 67 47 37;stegmann@stadtteilzentrum-steglitz.org;Stadtteil- und Nachbarschaftsarbeit;Stadtteilzentrum Steglitz e. V.;;;13.3117935095949;52.41177405;;;2025-05-15
000100_E;Bona Peiser Sozio-kulturelle Projekträume;Nachbarschaftstreff;Oranienstraße 72;10969;Berlin;Friedrichshain-Kreuzberg;https://bona-peiser.de/;(030) 67 79 60 86;info@bona-peiser.de;;Wassertor e.V.;;;13.407098;52.5049903;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/000100_e.jpg;https://maps.app.goo.gl/LQrULS6AszNvJhJy8;2025-05-15
000101_E;"Stadtteilzentrum Köllnische Heide 'mittendrin'";Stadtteilzentrum;Sonnenallee 319;12057;Berlin;Neukölln;https://ib-berlin.de/standort/212181;(030) 68 05 98 43;stz-koellnische-heide-berlin@ib.de;;Internationaler Bund Berlin-Brandenburg gGmbH;;;13.4727003;52.4654641;;https://maps.app.goo.gl/MYC2rohca86DD5D26;2025-05-15
000104_E;Staakentreff Brunsbütteler Damm;Nachbarschaftstreff;Brunsbütteler Damm 267;13591;Berlin;Spandau;https://gwv-heerstrasse.de/orte/sbd/;(030) 25 73 54 18;staakentreff-bbd@gwv-heerstrasse.de;;Gemeinwesenverein Heerstraße Nord e. V.;;;13.1343115904037;52.5367298933017;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/000104_e.jpg;https://maps.app.goo.gl/BszDwSsoubfNvbDV8;2025-05-15
000126_E;Nachbarschaftszentrum Bornhagenweg;Nachbarschaftstreff;Bornhagenweg 43;12309;Berlin;Tempelhof-Schöneberg;https://www.pfh-berlin.de/de/einrichtung/nachbarschaftszentrum-bornhagenweg-lichtenrade;(030) 68 96 77 96;nbzbornhagenweg@pfh-berlin.de;;Pestalozzi-Fröbel-Haus;;;13.4165851;52.3890088;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/000126_e.jpg;https://maps.app.goo.gl/18XmMgAkFHENiWF99;2025-05-15
000138_E;Stadtteilzentrum Hellersdorfer Terrassen;Nachbarschaftstreff;Alte Hellersdorfer Straße 121;12629;Berlin;Marzahn-Hellersdorf;https://www.ev-mittendrin.de/stadtteilzentrum-hellersdorfer-terrassen/;(030) 99 88 160;stz-helle-terrasse@ev-mittendrin.de;;MITTENDRIN leben e. V.;;;13.59119;52.5458652;;https://maps.app.goo.gl/EdDR5HjpVvcWTtUNA;2025-05-15
000142_E;Nachbarschaftsbüro;Nachbarschaftstreff;Havemannstraße 17A;12689;Berlin;Marzahn-Hellersdorf;https://stadtteilzentren-mh.de/marzahn-nord/;(030) 28 42 31 29;;;Kiek in  Soziale Dienste gGmbH;;;13.5732307;52.5683523;;;2025-05-15
000143_E;Jugend- und Nachbarschaftszentrum Auguste-Viktoria-Allee;Stadtteilzentrum;Auguste-Viktoria-Allee 51A;13403;Berlin;Reinickendorf;https://albatros.social/angebote/standorte/stadtteilzentrum-quaekerkiez/;;;;Albatros gGmbH;temporärer Standort;;13.3246577408612;52.57030655;;;2025-05-15
000159_E;Stadtteilzentrum Welsekiosk;Nachbarschaftstreff;Falkenberger Chaussee 136;13057;Berlin;Lichtenberg;https://vav-hhausen.de/gemeinwesen-und-stadtteilarbeit/stadtteilzentrum-welsekiosk/;(030) 85 99 38 83;stz-welsekiosk@vav-hhausen.de;;Verein für aktive Vielfalt e. V.;;;13.5255836610424;52.567802;;https://maps.app.goo.gl/cwo4onhMqFp4G9qc6;2025-05-15
